iter	Logloss
0	0.64715533
1	0.6107404287
2	0.5892049259
3	0.5644228669
4	0.5468251061
5	0.528843551
6	0.5121267389
7	0.4978580746
8	0.4897622526
9	0.4804232235
10	0.4734818052
11	0.4677565742
12	0.4623030541
13	0.4552049086
14	0.4515114963
15	0.4458781606
16	0.4426531159
17	0.4395039806
18	0.4362243384
19	0.4333389638
20	0.4308267617
21	0.4287784239
22	0.4264342514
23	0.4233867883
24	0.4217433038
25	0.4198878942
26	0.4178082467
27	0.4167688671
28	0.4147248392
29	0.4130236182
30	0.4115106052
31	0.4102050876
32	0.4086502095
33	0.4077123163
34	0.4060430384
35	0.404562114
36	0.402698027
37	0.4011977063
38	0.3997415911
39	0.3991169874
40	0.3981241432
41	0.3971160568
42	0.3962669531
43	0.3950392019
44	0.393987544
45	0.3930465318
46	0.392101003
47	0.3916600129
48	0.3907620045
49	0.3903387543
50	0.3897491379
51	0.3887339553
52	0.3874428868
53	0.3865592184
54	0.3855201051
55	0.384432709
56	0.3839752646
57	0.3835803346
58	0.3828685379
59	0.382052675
60	0.3814507926
61	0.3810053504
62	0.3805996934
63	0.3794565237
64	0.3789670748
65	0.3782251752
66	0.3775320218
67	0.3768863886
68	0.3763970347
69	0.3758156378
70	0.3753036933
71	0.3749429361
72	0.3731707695
73	0.3729072083
74	0.3722219583
75	0.371638107
76	0.3711237988
77	0.3707566666
78	0.3703920862
79	0.3699249359
80	0.3695652505
81	0.3691817629
82	0.3687373826
83	0.3681663281
84	0.3676443639
85	0.3672162797
86	0.3665490756
87	0.365752244
88	0.3654160855
89	0.3650499264
90	0.3646600764
91	0.3643827917
92	0.3637743599
93	0.3630880534
94	0.3625514123
95	0.36180359
96	0.361301876
97	0.3610035612
98	0.3605169284
99	0.3600915601
