iter	Passed	Remaining
0	146	20400
1	151	10478
2	156	7162
3	161	5491
4	166	4487
5	171	3820
6	176	3355
7	180	2978
8	185	2704
9	189	2467
10	193	2270
11	197	2106
12	202	1979
13	207	1864
14	211	1761
15	216	1681
16	221	1599
17	225	1525
18	229	1464
19	234	1404
20	238	1349
21	241	1297
22	247	1258
23	259	1252
24	263	1213
25	267	1174
26	271	1138
27	277	1108
28	281	1076
29	284	1044
30	288	1016
31	294	993
32	298	967
33	302	943
34	308	924
35	312	904
36	316	882
37	321	863
38	326	845
39	330	826
40	335	810
41	340	794
42	344	777
43	349	761
44	353	746
45	357	731
46	361	715
47	367	704
48	371	690
49	375	676
50	381	665
51	385	652
52	389	639
53	394	627
54	400	618
55	403	605
56	408	594
57	413	584
58	417	573
59	422	563
60	428	554
61	432	544
62	436	534
63	442	525
64	446	515
65	450	505
66	457	498
67	461	489
68	466	479
69	471	471
70	476	462
71	480	453
72	485	445
73	490	437
74	494	428
75	500	421
76	504	413
77	509	404
78	515	397
79	519	389
80	523	381
81	528	373
82	532	365
83	536	357
84	541	350
85	546	343
86	551	335
87	555	328
88	561	321
89	565	314
90	569	306
91	574	299
92	578	292
93	582	285
94	587	278
95	592	271
96	596	264
97	601	257
98	606	251
99	610	244
100	614	237
101	620	231
102	624	224
103	628	217
104	633	211
105	638	204
106	642	198
107	647	191
108	651	185
109	656	178
110	660	172
111	665	166
112	670	160
113	674	153
114	680	147
115	684	141
116	688	135
117	694	129
118	698	123
119	702	117
120	707	111
121	711	105
122	716	99
123	721	93
124	726	87
125	731	81
126	735	75
127	741	69
128	745	63
129	750	57
130	755	51
131	759	46
132	763	40
133	768	34
134	772	28
135	776	22
136	782	17
137	786	11
138	790	5
139	795	0
